idno	translation	author-name	num-authors	author-gender	book-title	publ-ref	publ-decade	publisher	collection	subgenre	group	scifi	sentimental	policier	blanche
Macomber_Vie	yes	Macomber, Debbie	1	female	La vie privée d'un professeur	1990	1990s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
Magner_Grande	yes	Magner, Lee	1	female	La grande chasse de Foxgrove	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Manchette_Iris	no	Manchette, Jean-Patrick	1	male	Iris. Kulturkampf	1997	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Manchette_Position	no	Manchette, Jean-Patrick	1	male	La Position du Tireur couché	1981	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Manchette_Princesse	no	Manchette, Jean-Patrick	1	male	La Princesse de Sang	1996	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Manotti_Sombre	no	Manotti, Dominique	1	female	Sombre Sentier	1995	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Marceau_Oiseau	no	Marceau, Félicien	1	male	Un oiseau dans le ciel	1989	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Marceau_Passions	no	Marceau, Félicien	1	male	Les passions partagées	1987	1980s	Gallimard		blanche	blanche	no	no	no	yes
Martin_Belle	yes	Martin, Nancy	1	female	Une belle pour un cow-boy	1990	1990s	Harlequin	Rouge Passion	sentimental	populaire	no	yes	no	no
Martin_Deesse	yes	Martin, Nancy	1	female	La déesse de Kimi Lau	1991	1990s	Harlequin	Rouge Passion	sentimental	populaire	no	yes	no	no
MartinigolGrousset_Enfant	no	Martinigol, Danielle / Grousset, Alain	2	male	L'Enfant-mémoire	1996	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire	yes	no	no	no
McDermid_Mauvais	yes	McDermid, Val	1	female	Mauvais signes	1998	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Millar_Femme	yes	Millar, Margaret	1	female	La femme de sa mort	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
MillerW_Foire	yes	Miller, Wade	1	male	La foire aux crimes	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Modiano_Dimanches	no	Modiano, Patrick	1	male	Dimanches d'Août	1986	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Modiano_Fleurs	no	Modiano, Patrick	1	male	Fleurs de Ruine	1991	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Modiano_Inconnues	no	Modiano, Patrick	1	male	Des Inconnues	1999	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Modiano_Loin	no	Modiano, Patrick	1	male	Du Plus Loin de l'Oubli	1996	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Modiano_Quartier	no	Modiano, Patrick	1	male	Quartier Perdu	1984	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Modiano_Remise	no	Modiano, Patrick	1	male	Remise de Peine	1988	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Modiano_Vestiaire	no	Modiano, Patrick	1	male	Vestiaire de l'enfance	1989	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Myers_Gold	yes	Myers, Helen R.	1	female	Gold'n Hart Café	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
Narcejac_Mort	no	Narcejac, Thomas	1	male	La mort est du voyage	1983	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Nathan_Dieu	no	Nathan, Tobie	1	male	Dieu-Dope	1995	1990s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Netter_Maitre	yes	Netter, Susan	1	female	Le maítre de l'orage	1986	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	no	yes	no	no
Nothomb_Attentat	no	Nothomb, Amélie	1	female	Attentat	1997	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Nothomb_Catilinaires	no	Nothomb, Amélie	1	female	Les Catilinaires	1995	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Nothomb_Hygiene	no	Nothomb, Amélie	1	female	Hygiène de l'Assassin	1992	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Nothomb_Peplum	no	Nothomb, Amélie	1	female	Peplum	1996	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Oldfield_Amour	yes	Oldfield, Elizabeth	1	female	L'Amour en otage	1990	1990s	Harlequin	Collection Horizon	sentimental	populaire	no	yes	no	no
Pace_Mystere	yes	Pace, Laurel	1	male	Le mystère Borodine	1996	1990s	Harlequin	Suspense	policier	populaire	no	no	yes	no
Pagel_Cineterre	no	Pagel, Michel	1	male	Cinéterre	1998	1990s	Fleuve Noir	Sf metal	scifi	populaire	yes	no	no	no
Pappano_Adriana	yes	Pappano, Marylin	1	female	Adriana ou le bel été	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Pecherot_Tiurai	no	Pécherot, Patrick	1	male	Tiurai	1996	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Pelot_Jour	no	Pelot, Pierre	1	male	Le Jour de l'Enfant Tueur	1999	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Pelot_Messager	no	Pelot, Pierre	1	male	Messager des tempêtes lointaines 	1996	1990s	Denoël	Présence du futur	scifi	populaire	yes	no	no	no
Pendleton_Jouez	yes	Pendleton, Grace	1	female	Jouez pour moi, Anna	1990	1990s	Harlequin	Collection Horizon	sentimental	populaire	no	yes	no	no
Pennac_Bonheur	no	Pennac, Daniel	1	male	Malaussene 1 Bonheur Ogres	1985	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Pennac_Fee	no	Pennac, Daniel	1	male	Malaussene 2 Fee Carabine	1987	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Pennac_Monsieur	no	Pennac, Daniel	1	male	Malaussene 4 Monsieur M	1995	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Pennac_Petite	no	Pennac, Daniel	1	male	La petite marchande de prose	1989	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Peters_Amulette	yes	Peters, Sue	1	female	L'amulette de jade	1982	1980s	Harlequin	Collection	sentimental	populaire	no	yes	no	no
Pohl_Promenade	yes	Pohl, Frédérik	1	male	La promenade de l'ivrogne	1981	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Pouy_Chasse	no	Pouy, Jean-Bernard	1	male	La Chasse au Tatou dans la pampa argentine	1993	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Pouy_Larchmutz	no	Pouy, Jean-Bernard	1	male	Larchmütz 5632	1999	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Pouy_Petite	no	Pouy, Jean-Bernard	1	male	Le Petite Écuyère a cafté	1995	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Pouy_Sec	no	Pouy, Jean-Bernard	1	male	À Sec ! (Spinoza encule Hegel, le retour)	1998	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Radley_Coups	yes	Radley_Sheila	1	female	À tous les coups l'on perd	1991	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Ranne_Chute		Ranne, G. Elton	1	male	Chute libre	1997	1990s	Fleuve Noir	SF polar	scifi	populaire	yes	no	no	no
Ravey_Bureau	no	Ravey, Yves	1	male	Bureau des Illettres	1992	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Ray_Malpertuis	no	Ray, Jean	1	male	Malpertuis, Histoire d'une maison fantastique	1984	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Rendell_Fille	yes	Rendell, Ruth	1	female	Une fille dans un caveau	1986	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Renford_Plus	no	Renford, Philippe 	1	male	Plus proche que vous ne pensez	1997	1990s	Fleuve Noir	SF métal	scifi	populaire	yes	no	no	no
RobbeGrillet_NN	no	Robbe-Grillet, Alain	1	male	Djinn, Un trou rouge entre les pavés disjoints	1981	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
RobertsD_Scorpion	yes	Roberts, Doreen	1	female	Le scorpion de jade	1989	1980s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Rodgers_Assassin	yes	Rodgers, M.J.	1	female	L'assassin sans visage	1996	1990s	Harlequin	Suspense	policier	populaire	no	no	yes	no
Rolin_Cyrille	no	Rolin, Jean	1	male	Cyrille et méthode	1994	1990s	Gallimard	Collection Blanche	blanche	blanche	no	no	no	yes
Rolin_Deux	no	Rolin, Dominique	1	female	Deux femmes un soir	1992	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Rosemoor_Pari	yes	Rosemoor, Patricia	1	female	Pari sur la vie	1996	1990s	Harlequin	Suspense	policier	populaire	no	no	yes	no
RossJ_Morte	yes	Ross, Jonathan	1	male	Une petite morte bien rangée	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
RossJo_Rock	yes	Ross, JoAnn	1	female	Red Rock Café	1989	1980s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Roth_Amour	yes	Roth, Pamela	1	female	L'amour aux mille visages	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Ryan_Etrange	yes	Ryan, Jenna	1	female	Étrange rôle pour Sara	1988	1980s	Harlequin	Collection Horizon	sentimental	populaire	no	yes	no	no
Ryck_Autobiographie	no	Ryck, Francis	1	male	Autobiographie Tueur	1987	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Ryck_Piege	no	Ryck, Francis	1	male	Piege	1981	1980s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Sarraute_Portrait	no	Sarraute, Nathalie	1	female	Portrait d'un inconnu	1995	1990s	Gallimard	Collection Folio	blanche	blanche	no	no	no	yes
Schulze_Roses	yes	Schulze, Dallas	1	female	Les roses d'avant-saison	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Seger_Souvenir	yes 	Seger, Maura	1	female	Le souvenir de nous	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Shayne_Voyageur	yes	Shayne, Maggie	1	female	Le voyageur du temps	1996	1990s	Harlequin	Sixième Sens	sentimental	populaire	no	yes	no	no
Silverberg_Deserteurs	yes	Silverberg, Robert	1	male	Les déserteurs temporels	1986	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Silverberg_Guetteurs	yes	Silverberg, Robert	1	male	Les guetteurs des étoiles	1987	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Silverberg_Revivre	yes	Silverberg, Robert	1	male	Revivre encore	1984	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Silverwood_Maison	yes	Silverwood, Jane	1	female	La maison de l'angoisse	1996	1990s	Harlequin	Suspense	policier	populaire	no	no	yes	no
Simon_Derive	no	Simon, Yves	1	male	La Dérive des sentiments	1991	1990s	Grasset		blanche	blanche	no	no	no	yes
Simon_Georgiques	no	Simon, Claude	1	male	Les Géorgiques	1981	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Simon_Prochain	no	Simon, Yves	1	male	Le prochain amour	1996	1990s	Grasset		blanche	blanche	no	no	no	yes
Siniac_Aime	no	Siniac, Pierre	1	male	Aime le maudit	1991	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
SmithR_Coeur	yes	Smith, Ruth Alana	1	female	De ton cœur à mon cœur	1992	1990s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
Sollers_Femmes	no	Sollers, Philippe	1	male	Femmes	1984	1980s	Gallimard	Collection Folio	blanche	blanche	no	no	no	yes
Sommers_Etrange	yes	Sommers, Beverly	1	female	Etrange histoire d'amour	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Sommers_Professeur	yes	Sommers, Beverly	1	female	Le professeur est amoureux	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
Spencer_Epouse	yes	Spencer, Candace	1	female	Une épouse romantique	1991	1990s	Harlequin	Rouge Passion	sentimental	populaire	no	yes	no	no
Spinrad_Chants	yes	Spinrad, Norman	1	male	Chants des étoiles	1988	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Spinrad_Miroirs	yes	Spinrad, Norman	1	male	Les miroirs de l'esprit	1986	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Stagge_Chansonnette	yes	Stagge, Jonathan	1	male	Chansonnette funèbre	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Steeman_Morte	no	Steeman, Stanislas-André	1	male	La morte survit au 13	1985	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Stephens_Ciel	yes	Stephens, Jeanne	1	female	Comme un ciel d'orage	1990	1990s	Harlequin	Duo Harmonie	sentimental	populaire	no	yes	no	no
StevensA_Nuit	yes	Stevens, Amanda	1	female	La septième nuit	1994	1990s	Harlequin	Sixième Sens	sentimental	populaire	no	yes	no	no
Stewardson_Jours	yes	Stewardson, Dawn	1	female	Quelques jours pour aimer	1991	1990s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
Stewardson_Ombre	yes	Stewardson, Dawn	1	female	L'ombre de la lune bleue	1990	1990s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
Tessarech_Machine	no	Tessarech, Bruno	1	male	La machine à écrire	1996	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
ThomasL_Crimes	no	Thomas, Louis C.	1	male	Crimes avec préméditation	1993	1990s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Thomson_Peche	yes	Thomson, June	1	female	Péché mortel	1984	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Toombs_Fantome	yes	Toombs, Jane 	1	female	Le fantôme de la dame en blanc	1995	1990s	Harlequin	Sixième Sens	sentimental	populaire	no	yes	no	no
Tornielle_Lina	no	Tornielle, Camille	1	female	Lina	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	yes	no	no
Tournier_Gaspard	no	Tournier, Michel	1	male	Gaspard	1980	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Tournier_Goutte	no	Tournier, Michel	1	male	Goutte Or	1985	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Toussaint_Monsieur	no	Toussaint, Jean-Philippe	1	male	Monsieur	1986	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Toussaint_Salle	no	Toussaint, Jean-Philippe	1	male	Salle Bain	1985	1980s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Traverso_Voyoutes	no	Traverso, Frédérique	1	female	Les Voyoutes	1998	1990s	Grasset		blanche	blanche	no	no	no	yes
Trouillot_Rue	no	Trouillot, Lyonel	1	male	Rue des Pas-Perdus	1998	1990s	Actes Sud	Babel	blanche	blanche	no	no	no	yes
Valetti_Labyrinth		Valetti, Oscar	1	male	Labyrinth-jungle	1992	1990s	Fleuve Noir	Anticipation	scifi	populaire	yes	no	no	no
VanDeWetering_Massacre	yes	van de Wetering, Janwillem	1	male	Le Massacre du Maine	1988	1980s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Vargas_Armee	no	Vargas, Fred	1	female	L'Armée Furieuse	1996	1990s	(unknown)	(unknown)	policier	populaire	no	no	yes	no
Vautrin_Grand	no	Vautrin, Jean	1	male	Un grand pas vers le Bon Dieu	1989	1980s	Grasset		blanche	blanche	no	no	no	yes
Veinstein_Accordeur	no	Veinstein, Alain	1	male	L'accordeur	1996	1990s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Venisse_Troisieme	no	Venisse, Alain	1	male	Troisième galaxie au fond du placard	1998	1990s	Hachette Livre	Vertige science-fiction	scifi	populaire	yes	no	no	no
Verdet_Veronique	no	Verdet, Isabelle	1	female	Véronique	1987	1980s	Fleuve Noir	Femme Viva	sentimental	populaire	no	yes	no	no
Verteuil_Machination	no	Verteuil, Philippe	1	male	Machination au troisième degré	1981	1980s	Le Masque	Romans d'aventures	policier	populaire	no	no	yes	no
Viel_Black	no	Viel, Tanguy	1	male	Le Black Note	1998	1990s	(unknown)	(unknown)	blanche	blanche	no	no	no	yes
Vila_Boulevard	no	Vilà, Christian	1	male	Boulevard de l'infini	1999	1990s	Fleuve Noir	SF métal	scifi	populaire	yes	no	no	no
Vila_Iceflyer	no	Vilà, Christian	1	male	Iceflyer	1997	1990s	Fleuve Noir	SF métal	scifi	populaire	yes	no	no	no
Vila_X	no	Vilà, Christian	1	male	X	1998	1990s	Fleuve Noir	SF mystère	scifi	populaire	yes	no	no	no
Volkoff_Guerre	no	Volkoff, Vladimir	1	male	La guerre des pieuvres	1983	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Volkoff_Metro	no	Volkoff, Vladimir	1	male	Métro pour l'enfer	1981	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Volkoff_Tire	no	Volkoff, Vladimir	1	male	Le tire-bouchon du bon dieu	1982	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Vonarburg_Silence	no	Vonarburg, Elisabeth	1	female	Le silence de la cité	1981	1980s	Denoël	Présence du Futur	scifi	populaire	yes	no	no	no
Wagner_Balle	no	Wagner, Roland C.	1	male	La Balle du néant : suivi de Les ravisseurs quantiques (Les futurs mystères de Paris)	1996	1990s	Fleuve Noir	Les futurs mystères de Paris	scifi	populaire	yes	no	no	no
Wagner_Ravisseurs	no	Wagner, Roland C.	1	male	Les ravisseurs quantiques	1996	1990s	Fleuve Noir	Les futurs mystères de Paris	scifi	populaire	yes	no	no	no
Walker_Pirate	yes	Walker, Kate	1	female	Le pirate de Highcliff	1988	1980s	Harlequin	Collection Azur	sentimental	populaire	no	yes	no	no
Ward_Rencontre	yes	Ward, Lynda	1	female	Rencontre au Crépuscule	1990	1990s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
Westlake_Couperet	yes	Westlake, Donald	1	male	Le couperet	1998	1990s	Rivages	Rivages/Noir	policier	populaire	no	no	yes	no
Weyergans_Radeau	no	Weyergans, François	1	male	Le Radeau de la Méduse	1983	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Weyergans_Vie	no	Weyergans, François	1	male	La vie d'un bébé	1986	1980s	Gallimard	Folio	blanche	blanche	no	no	no	yes
Wilkins_Cheri	yes	Wilkins, Gina	1	female	Le chéri de Merry	1990	1990s	Harlequin	Duo Desir	sentimental	populaire	no	yes	no	no
Williams_Appel	yes	Williams, Ann	1	female	L'appel du futur	1995	1990s	Harlequin	Sixième Sens	sentimental	populaire	no	yes	no	no
Wintrebert_Chromoville	no	Wintrebert, Joëlle	1	female	Chromoville	1984	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
Wintrebert_MaitresFeu	no	Wintrebert, Joëlle	1	female	Les maîtres-feu	1983	1980s	J'ai lu	Science-Fiction et Fantastique	scifi	populaire	yes	no	no	no
YoungB_Rose	yes	Young, Brittany	1	female	La rose du Kremlin	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
YoungB_Soeurs	yes	Young, Brittany	1	female	Les soeurs de l'orage	1989	1980s	Harlequin	Duo Romance	sentimental	populaire	no	yes	no	no
YoungK_Lien	yes	Young, Karen	1	female	Lien de coeur	1990	1990s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
YoungK_Maison	yes	Young, Karen	1	female	Dans la maison du lac	1989	1980s	Harlequin	Collection Or	sentimental	populaire	no	yes	no	no
Zelazny_Enfant	yes	Zelazny, Roger	1	male	L'enfant tombé de nulle part	1980	1980s	Presses Pocket	Science-Fiction	scifi	populaire	yes	no	no	no
Ziegler_Monstre	yes	Ziegler, Thomas	1	male	Un monstre à bord	1988	1980s	Hachette	Haute tension / Spectres	sentimental	populaire	no	yes	no	no
